744,241
937,299
932,249
842,321
895,335
842,357
762,399
761,411
775,428
779,440
791,439
801,446
816,432
845,432
881,424
917,423
958,421
975,417
978,414
983,411
979,423
983,414
977,433
974,446
952,471
930,483
913,491
901,502
903,505
908,507
905,518
909,522
930,523
933,510
934,502
936,493
947,485
956,479
961,484
990,482
953,498
885,528
823,574
799,592
713,647
633,718
573,740
501,773
461,788
523,738
621,677
704,633
758,606
791,578
814,556
866,521
900,495
934,472
962,454
985,447
995,447
964,467
937,488
908,510
874,506
860,500
843,493
845,483
839,481
832,480
827,477
822,477
823,470
813,473
812,491
805,560
863,618
876,599
874,584
858,571
861,562
824,592
834,613
860,640
859,637
939,566
989,523
1075,493
1136,476
1092,466
1060,464
1070,466
1081,463
1099,470
1103,492
1105,513
1106,514
1024,517
954,518
921,509
926,513
917,513
850,529
904,521
937,504
982,476
933,474
889,467
874,465
840,472
826,475
808,480
798,489
786,507
710,554
653,596
644,605
636,618
668,622
722,594
741,603
772,603
