1170,634
1103,646
1074,648
1063,673
1031,666
1015,670
1019,672
1014,673
1013,655
1014,637
1000,639
1014,638
1003,645
989,650
969,650
976,655
997,659
1004,669
1007,660
997,662
1010,650
1023,659
1032,658
1020,691
1019,714
992,718
976,703
952,702
973,698
1026,691
1083,683
1112,686
1118,694
1169,712
1184,721
1195,722
1195,727
1201,713
1194,724
1199,708
1193,713
1196,708
1183,701
1160,709
1079,719
1011,735
968,725
923,721
883,724
864,720
845,724
864,741
873,750
850,733
814,755
826,758
804,785
797,770
793,768
805,774
801,772
799,765
695,793
642,826
612,822
575,816
525,822
528,819
628,794
685,779
635,782
593,800
576,783
545,794
528,819
660,815
743,810
766,787
768,767
795,735
782,717
766,766
762,760
775,737
834,696
870,702
889,636
864,605
842,606
826,608
816,634
828,649
789,646
824,632
932,645
988,626
1028,633
1072,650
1118,656
1196,702
1242,735
1246,733
1282,720
1272,713
1252,706
1228,715
1235,752
1224,785
1290,803
1311,812
1297,807
1156,779
1072,730
1033,721
917,716
801,769
720,829
675,822
621,841
575,858
633,854
